student_id,Score,Submission_Time
B73F2C11-70F0-E37D-8B10-1D20AFED50B1,92.7,02/11/2015 06:55:34
98A0FAE0-A19A-13D2-4BB5-CFBFD94031D1,86.8,29/11/2015 14:57:44
D0F62040-CEB0-904C-F563-2F8620916C4E,85.5,09/01/2016 05:36:02
FFDF2B2C-F514-EF7F-6538-A6A53518E9DC,86.0,30/04/2016 06:50:40
5ECBEEB6-F1CE-80AE-3164-E45E99473FB4,64.8,13/12/2015 17:06:11
D09000A0-827B-C0FF-3433-BF8FF286E15B,71.6,28/12/2015 04:35:33
3217BE3F-E4B0-C3B6-9F64-462456819CE4,87.5,05/03/2016 11:05:25
F1CB5AA1-B3DE-5460-FAFF-BE951FD38B5F,80.6,24/01/2016 18:24:26
C9D51293-BD58-F113-4167-A7C0BAFCB6E5,66.6,25/12/2015 02:29:28
E2C617C2-4654-622C-AB50-1550C4BE42A0,59.3,06/03/2016 12:06:26
ECFE7BB7-F618-A5B9-7A57-3BD2BCC0D880,45.8,20/03/2016 19:34:12
B017B4A6-1F41-9D46-A040-21B0D270D4BE,76.7,05/10/2015 02:11:06
F2A4439C-F8D6-D47D-D884-C62E40366413,92.3,05/03/2016 02:21:18
8DC055F5-4B63-6CD1-9BAD-A2D927E01CDA,79.1,24/06/2016 13:25:34
35A9117B-9278-8C97-7180-DC1319117AB8,83.6,22/02/2016 07:26:56
24827B50-2FC2-E4B0-E2A0-1989E17749B3,15.0,17/11/2015 01:16:08
70A7A4AB-49ED-C587-D6E2-1518863B3411,42.3,08/02/2016 01:14:24
D6EFCCCA-82CA-C4BE-1C3E-D0477DE28B24,53.6,17/09/2015 13:06:40
15A04776-A6C6-72DC-B55F-A6A82B95E0B2,60.6,04/03/2016 21:39:57
C040D322-E970-4E8F-22A6-2FFAF2D74061,36.4,12/11/2015 14:05:48
D5E03B6F-E4AB-AD56-FCB5-12ACA02D3622,82.5,03/03/2016 03:13:32
E03DE248-3570-3C31-77F7-5138764837A6,73.2,10/03/2016 18:23:55
A1331E62-50B5-94FC-E0CE-3092CB3D30D9,88.9,16/09/2015 22:33:03
4D914022-B7D7-52C4-A1BB-479166DB7347,99.9,11/01/2016 01:21:31
FCB5854D-D84C-E8BA-4AF8-59FCF9CC69CB,88.7,22/11/2015 08:35:36
A4FB423A-E08E-559F-DCCD-A0A543E812E3,73.3,15/11/2015 18:13:45
D887D9D7-6993-7618-5333-1DBC732CAA5E,81.5,09/01/2016 10:52:36
EFDA9F93-D0C3-864F-B0F6-2E9AA3E05E31,75.8,18/09/2015 20:18:12
DDE0526B-7DA4-80E8-C2A6-D097F3826029,94.4,20/12/2015 23:25:47
DE88902E-C7A7-E37A-CFA7-F2C8F2D219F2,90.9,22/01/2016 22:44:12
247B105C-2067-A7AA-2CBE-B65278128C96,73.1,08/02/2016 04:24:49
247B105C-2067-A7AA-2CBE-B65278128C96,67.3,29/11/2015 11:12:20
25197F10-E9E9-4C50-63F8-6C896975AAE2,82.9,06/01/2016 00:03:26
247B105C-2067-A7AA-2CBE-B65278128C96,46.3,07/01/2016 22:03:02
DDE0526B-7DA4-80E8-C2A6-D097F3826029,94.9,04/01/2016 16:05:19
DDE0526B-7DA4-80E8-C2A6-D097F3826029,84.6,04/10/2015 04:48:45
EFDA9F93-D0C3-864F-B0F6-2E9AA3E05E31,70.2,05/08/2016 12:13:24
DE88902E-C7A7-E37A-CFA7-F2C8F2D219F2,46.2,12/10/2015 18:17:58
1F51E050-78F7-F270-1B90-ED1BC0376763,73.4,30/04/2016 02:46:23
247B105C-2067-A7AA-2CBE-B65278128C96,90.6,26/06/2016 07:54:42
25197F10-E9E9-4C50-63F8-6C896975AAE2,82.4,01/06/2016 04:29:50
6D2AB78F-44F4-2E8B-5C5E-B79119BC7EAC,92.3,04/10/2015 08:05:06
DE88902E-C7A7-E37A-CFA7-F2C8F2D219F2,54.6,17/10/2015 15:57:34
2B806EF6-A590-1C00-F0C5-1469E3B2152E,56.9,22/01/2016 19:00:32
1F51E050-78F7-F270-1B90-ED1BC0376763,84.4,14/12/2015 07:48:07
DDE0526B-7DA4-80E8-C2A6-D097F3826029,74.8,21/10/2015 20:43:14
25197F10-E9E9-4C50-63F8-6C896975AAE2,74.4,02/11/2015 03:12:44
DE88902E-C7A7-E37A-CFA7-F2C8F2D219F2,77.8,29/05/2016 02:00:08
EFDA9F93-D0C3-864F-B0F6-2E9AA3E05E31,68.7,30/10/2015 19:31:08
6D2AB78F-44F4-2E8B-5C5E-B79119BC7EAC,42.3,24/01/2016 09:14:16
